Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Woodlawn,4c0448d9310fc9b6bf1dc761,Curry Spot,5,7.7,10
Bronx,Spuyten Duyvil,4c04544df423a593ac83d116,Cumin Indian Cuisine,13,6.1,9
Bronx,Concourse,551b7f75498e86c00a0ed2e1,Hungry Bird,8,6.8,4
Bronx,Unionport,0,0,0,0.0,0
Brooklyn,Bay Ridge,4b5a4dc8f964a520a2bb28e3,Taj Mahal,37,8.1,24
Brooklyn,Bay Ridge,545835a1498e820edc6f636f,Bombay Grill,13,7.2,4
Brooklyn,Brighton Beach,4af0d31bf964a5207ddf21e3,Pak Nasheman,10,7.6,4
Brooklyn,Flatbush,52213c4211d295d4c57a607c,Ashoka Grill,8,7.2,14
Brooklyn,Flatbush,564d283d498e6e851df79d87,Great Indian Curry,3,6.3,2
Brooklyn,East Flatbush,512a9ea9e4b004fb8eeb84e5,Silver Krust,13,7.8,3
Brooklyn,Kensington,4db0f4371e729fcc56497f20,Mashallah,19,7.2,7
Brooklyn,Kensington,4b718914f964a520c04b2de3,Madina Restaurant and Sweets,18,6.4,12
Brooklyn,Windsor Terrace,620874c3cd3d9c72c32c8ec2,LORE,12,8.3,1
Brooklyn,Cobble Hill,58e81c67375c4a70bfd5380d,Indian Table,40,7.9,15
Brooklyn,Fort Greene,57596dad498e732300496b23,Dosa Royale,83,8.6,26
Brooklyn,Clinton Hill,57596dad498e732300496b23,Dosa Royale,83,8.6,26
Brooklyn,Downtown,543870ec498ec64de510608d,Masala Grill,42,8.0,14
Brooklyn,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine,85,8.5,48
Brooklyn,Prospect Lefferts Gardens,4afdf78bf964a520862c22e3,King of Tandoor,27,7.2,23
Brooklyn,Ocean Hill,5539753f498edbace4746b67,Tandoori Masala,12,7.8,2
Brooklyn,Prospect Park South,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,16,7.1,11
Brooklyn,Prospect Park South,4db0f4371e729fcc56497f20,Mashallah,19,7.2,7
Brooklyn,South Side,60cd2bc9f7349c6f18496841,Atithi,9,8.2,5
Brooklyn,Fort Hamilton,545835a1498e820edc6f636f,Bombay Grill,13,7.2,4
Manhattan,Washington Heights,4ae7876ef964a5201eac21e3,Kismat Indian Restaurant,47,7.5,26
Manhattan,Hamilton Heights,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.5,17
Manhattan,Hamilton Heights,5914ff32b23dfa207eca38de,Mumbai Masala,14,7.3,7
Manhattan,Manhattanville,529d382a11d2dd5ef107e641,Chapati House - NYC,71,7.7,18
Manhattan,Manhattanville,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.5,17
Manhattan,Central Harlem,56d87f3d498ee215abee5724,Delhi Masala,15,8.4,4
Manhattan,Central Harlem,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.5,17
Manhattan,East Harlem,519fe6f5498e30595d370c44,Bawarchi,9,7.7,4
Manhattan,Yorkville,5272ca4511d22488f6895caf,Drunken Munkey,225,8.7,61
Manhattan,Yorkville,56ed855a498ef3bb022352c3,Mughlai Indian Cuisine,32,8.0,11
Manhattan,Roosevelt Island,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,193,8.0,84
Manhattan,Midtown,49d91c12f964a520015e1fe3,The Kati Roll Company,835,8.6,258
Manhattan,Murray Hill,49d91c12f964a520015e1fe3,The Kati Roll Company,835,8.6,258
Manhattan,Murray Hill,4a70a75bf964a52016d81fe3,Bhatti Indian Grill,433,8.8,167
Manhattan,Tribeca,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,613,9.0,156
Manhattan,Tribeca,5e3c92da448f0b00072b8e6c,Paisley,9,8.1,2
Manhattan,Soho,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,613,9.0,156
Manhattan,Soho,5a1e961c1987ec47beed877d,Baar Baar,175,8.6,42
Manhattan,West Village,61675b6b9299eb6bcd5af20b,Semma,38,8.2,6
Manhattan,Manhattan Valley,49c5ad0af964a5201b571fe3,Roti Roll,118,7.7,57
Manhattan,Manhattan Valley,42dc4280f964a5203d261fe3,Ayurveda Cafe,42,7.1,25
Manhattan,Morningside Heights,49c5ad0af964a5201b571fe3,Roti Roll,118,7.7,57
Manhattan,Gramercy,4a70a75bf964a52016d81fe3,Bhatti Indian Grill,433,8.8,167
Manhattan,Gramercy,57f7cbbe498edf8f07c7ba83,Sahib,67,8.5,16
Manhattan,Gramercy,4fcf82f54fc6ada5874da997,Chote Nawab,215,8.2,69
Queens,Astoria,4aa56c81f964a5204e4820e3,Seva Indian Cuisine,244,8.6,132
Queens,Astoria,5d8d9c5e0a2ffc0008f28855,The Gully,8,7.8,4
Queens,Woodside,4c7060e734443704ca0e245f,Kababish,30,8.0,19
Queens,Woodside,4afdcf29f964a520162b22e3,Rajbhog Sweets,37,8.2,25
Queens,Woodside,5da4fbf091a08400078be19d,Angel Indian Restaurant,23,8.7,6
Queens,Woodside,4b998d3ff964a520fc8235e3,Maharaja Sweets & Snacks,56,7.8,25
Queens,Woodside,3fd66200f964a52009f11ee3,Jackson Diner,144,7.9,79
Queens,Woodside,50942dd6e4b0b538e495a1be,Raja Sweets And Fast Food,16,7.5,10
Queens,Woodside,524ccf0d11d26a9883cddc8f,Dhaka Garden,6,7.4,3
Queens,Woodside,49ebb18ff964a52016671fe3,Delhi Heights,34,7.4,26
Queens,Jackson Heights,527d9cbc498edf0db10bde6b,Samudra,52,8.1,18
Queens,Jackson Heights,5da4fbf091a08400078be19d,Angel Indian Restaurant,23,8.7,6
Queens,Jackson Heights,4afdcf29f964a520162b22e3,Rajbhog Sweets,37,8.2,25
Queens,Jackson Heights,3fd66200f964a52009f11ee3,Jackson Diner,144,7.9,79
Queens,Jackson Heights,4b998d3ff964a520fc8235e3,Maharaja Sweets & Snacks,56,7.8,25
Queens,Jackson Heights,50942dd6e4b0b538e495a1be,Raja Sweets And Fast Food,16,7.5,10
Queens,Elmhurst,5da4fbf091a08400078be19d,Angel Indian Restaurant,23,8.7,6
Queens,Elmhurst,527d9cbc498edf0db10bde6b,Samudra,52,8.1,18
Queens,Elmhurst,3fd66200f964a52009f11ee3,Jackson Diner,144,7.9,79
Queens,Elmhurst,49ebb18ff964a52016671fe3,Delhi Heights,34,7.4,26
Queens,Kew Gardens,5782c9ce498edde587f5aa14,Tikka Indian Grill,10,7.5,2
Queens,Kew Gardens,4bbe78bfba9776b070cefdc8,Mehak Mughlai Cuisine,8,7.5,10
Queens,Richmond Hill,4b522029f964a520f26927e3,Sohna Punjab,8,7.7,2
Queens,Richmond Hill,4f1b77d7e4b044fd359e6d21,India Cafe,6,7.7,3
Queens,Richmond Hill,5782c9ce498edde587f5aa14,Tikka Indian Grill,10,7.5,2
Queens,Richmond Hill,4adbaef0f964a520ff2921e3,Punjabi Kabab House,7,6.2,8
Queens,Richmond Hill,4babc24ef964a5200ac73ae3,Royal India Palace,7,5.7,3
Queens,Richmond Hill,4bb2bc48a32876b02e0b01fe,Tandoori Hut,6,5.7,15
Queens,Long Island City,5b931ea69d7468002c3b1382,Adda,171,9.1,40
Queens,Sunnyside,5b931ea69d7468002c3b1382,Adda,171,9.1,40
Queens,Ridgewood,50e1c9708aca7ff2b3e50353,Nepalese Indian Restaurant,51,8.0,18
Queens,Rego Park,5625af69498ebbc62b61a382,Aaheli Restaurant,12,7.6,6
Queens,Ozone Park,0,0,0,0.0,0
Queens,Bayside,4f1f4996e4b01ff351a7a50c,Ayna Agra Indian Restaurant,38,7.7,12
Queens,Bayside,539a4ff0498e79c6745baba9,Masala Box,10,8.0,4
Queens,Bayside,539e27b0498e2eba582085ee,masalabox,7,6.7,2
Queens,Glen Oaks,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,37,8.0,18
Queens,Glen Oaks,4b9030abf964a520397b33e3,Taste of Cochin,9,6.7,4
Queens,Glen Oaks,4df0f39dd4c04d0392c853ea,Sagar Chinese,7,5.9,6
Queens,Glen Oaks,4c0e256ab1b676b06589e186,Sohna Punjab,3,6.1,3
Queens,Bellerose,0,0,0,0.0,0
Queens,Kew Gardens Hills,0,0,0,0.0,0
Queens,Briarwood,4be334312fc7d13a7a81083a,Taj Mahal Restaurant & Party Hall,24,7.6,5
Queens,Briarwood,4bad49a0f964a52041423be3,Annam Brahma,16,8.2,4
Queens,Briarwood,4cc08b0900d83704ed474b5c,Sybil's Bakery,9,6.4,3
Queens,Jamaica Center,4bad49a0f964a52041423be3,Annam Brahma,16,8.2,4
Queens,Jamaica Center,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6.7,6
Queens,Jamaica Center,4cc08b0900d83704ed474b5c,Sybil's Bakery,9,6.4,3
Queens,Jamaica Center,0,0,0,0.0,0
Queens,Steinway,562035d9498e2abb4137c2c7,Yaar Indian Restaurant,32,8.2,8
Queens,Floral Park,4e4e3e22bd4101d0d7a5c2d1,Kerala Kitchen,6,8.3,6
Queens,Floral Park,527ffc0811d2d329d5e49abd,Jackson Diner,9,7.8,3
Queens,Floral Park,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,37,8.0,18
Queens,Floral Park,4b647b56f964a520c4b62ae3,Usha Foods & Usha Sweets,34,7.5,10
Queens,Floral Park,4c0c01e0bbc676b00d6b4cd5,Mumbai Xpress,16,6.7,18
Queens,Floral Park,4c76ff35a5676dcb72671721,Flavor Of India,6,5.9,6
Queens,Floral Park,4df0f39dd4c04d0392c853ea,Sagar Chinese,7,5.9,6
Queens,Floral Park,0,0,0,0.0,0
Queens,Floral Park,0,0,0,0.0,0
Queens,Holliswood,4f580c1be4b0bdfd0e7e8102,Rajdhani Indian Restaurant,13,8.3,6
Queens,Jamaica Estates,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6.7,6
Queens,Jamaica Estates,0,0,0,0.0,0
Queens,Ravenswood,5623f6f9498e5a44a08bfae8,Boishakhi Restaurant,18,8.1,9
Queens,Forest Hills Gardens,4f188adfe4b0cae4b525a694,Haveli,14,6.8,8
Staten Island,New Brighton,4b9be038f964a520393036e3,Dosa Garden,18,7.9,15
Staten Island,New Dorp,4be74a502468c928505a0243,Taste Of India II,30,8.3,16
Staten Island,Tompkinsville,4b9be038f964a520393036e3,Dosa Garden,18,7.9,15
Brooklyn,Ditmas Park,4db0f4371e729fcc56497f20,Mashallah,19,7.2,7
Brooklyn,Ditmas Park,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,16,7.1,11
Staten Island,Park Hill,0,0,0,0.0,0
Staten Island,Grant City,4be74a502468c928505a0243,Taste Of India II,30,8.3,16
Manhattan,Carnegie Hill,5272ca4511d22488f6895caf,Drunken Munkey,225,8.7,61
Manhattan,Noho,5a1e961c1987ec47beed877d,Baar Baar,175,8.6,42
Manhattan,Civic Center,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,613,9.0,156
Manhattan,Midtown South,49d91c12f964a520015e1fe3,The Kati Roll Company,835,8.6,258
Queens,Jamaica Hills,4bad49a0f964a52041423be3,Annam Brahma,16,8.2,4
Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6.7,6
Queens,Jamaica Hills,4cc08b0900d83704ed474b5c,Sybil's Bakery,9,6.4,3
Queens,Jamaica Hills,0,0,0,0.0,0
Queens,Jamaica Hills,0,0,0,0.0,0
Queens,Astoria Heights,0,0,0,0.0,0
Bronx,Concourse Village,551b7f75498e86c00a0ed2e1,Hungry Bird,8,6.8,4
Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine,159,8.5,58
Manhattan,Turtle Bay,59fcd48c464d6567ed2f5e37,The Kati Roll Company,21,8.7,4
Manhattan,Tudor City,59fcd48c464d6567ed2f5e37,The Kati Roll Company,21,8.7,4
Queens,Blissville,5b931ea69d7468002c3b1382,Adda,171,9.1,40
Brooklyn,Broadway Junction,5539753f498edbace4746b67,Tandoori Masala,12,7.8,2
Brooklyn,Erasmus,564d283d498e6e851df79d87,Great Indian Curry,3,6.3,2
Brooklyn,Erasmus,0,0,0,0.0,0
Queens,Queensbridge,4b1b341bf964a5208af923e3,Five Star Banquet,30,6.4,31
Staten Island,Fox Hills,0,0,0,0.0,0
